t V 
50491.081600000005 9.99999237622968e-10 
74196.03370251942 9.999987619517805e-10 
141375.80712796014 9.999973692540427e-10 
204640.1744529059 9.99996024997181e-10 
333132.12247242697 9.999932362625198e-10 
487198.4152315202 9.999898175500955e-10 
749784.7372134316 9.999838433325387e-10 
1.0912896349810534e6 9.999758374157558e-10 
1.6181989140319228e6 9.999630215561237e-10 
2.3416577715340964e6 9.999445891766231e-10 
3.396652624215359e6 9.99916108374552e-10 
4.875862190588461e6 9.998732119850068e-10 
7.00605499857169e6 9.998058622216566e-10 
1.0025203848122504e7 9.997002769055051e-10 
1.4361845765743027e7 9.995305701039909e-10 
2.0559349972972836e7 9.992575121052752e-10 
2.9474833541781567e7 9.988159447643655e-10 
4.086036724299588e7 9.981912906281616e-10 
5.634353895724665e7 9.972663643282647e-10 
7.650970566435994e7 9.959719779980417e-10 
1.0295434552647594e8 9.941630388769558e-10 
1.371998288276111e8 9.916709503959174e-10 
1.822284678622861e8 9.881763726954255e-10 
2.361065516289291e8 9.837145610000839e-10 
2.9952179414841807e8 9.781306428712067e-10 
3.7271248705498695e8 9.713190959216834e-10 
4.639485823756538e8 9.624023149716924e-10 
5.600674532157596e8 9.713265781186702e-10 
5.759435007409179e8 9.545191296107499e-10 
6.028188525686079e8 9.487156546616852e-10 
6.299785315081517e8 9.454482337116736e-10 
6.668418074500195e8 9.415885330011384e-10 
7.107554389580905e8 9.371490076943417e-10 
7.607613162993602e8 9.381662111249497e-10 
8.061143985019453e8 9.796416709946677e-10 
8.409601555928594e8 9.797438599806535e-10 
8.728902649324208e8 9.517666650380406e-10 
9.02449239181038e8 9.267877068196569e-10 
9.36921880928371e8 9.15277428375411e-10 
9.769914416266792e8 9.12084244003299e-10 
1.0184788686046972e9 9.139037738457437e-10 
1.0577241023564067e9 9.092381018179761e-10 
1.0972476709210474e9 8.978778681485518e-10 
1.1386759287293136e9 8.991100419450092e-10 
1.1785069294469624e9 9.103015667246058e-10 
1.2146417185758195e9 9.015851859629338e-10 
1.250641832728533e9 8.830259552725379e-10 
1.2912049822770908e9 8.839001709232268e-10 
1.3316363356595268e9 8.859131538677195e-10 
1.3702088563677754e9 8.761260548180339e-10 
1.4117316020434992e9 8.688223746922316e-10 
1.4554257395313087e9 8.693103345869625e-10 
1.496973310165583e9 8.859632885210003e-10 
1.533518713465561e9 8.73407679316947e-10 
1.5699050966811419e9 8.560226308757278e-10 
1.609400356316811e9 8.548580816920448e-10 
1.6498232024891896e9 8.514720871832828e-10 
1.6922958660411913e9 8.46578237231533e-10 
1.7381478501655219e9 8.42910713661998e-10 
1.7834072620427115e9 8.45114210415403e-10 
1.8254320935645108e9 8.743287114977162e-10 
1.8610464562933624e9 8.436736542503041e-10 
1.898621997998232e9 8.308627213258713e-10 
1.936277355274394e9 8.279007509948861e-10 
1.9777675045254402e9 8.241887814222545e-10 
2.0252056415261965e9 8.212868776173568e-10 
2.074867563898342e9 8.179160315564785e-10 
2.1182135879940937e9 8.343050442657044e-10 
2.15775533649102e9 8.439223017698775e-10 
2.193760085139112e9 8.152811921167915e-10 
2.2353169585310264e9 8.115045107600951e-10 
2.2760350420575266e9 8.075495106624319e-10 
2.319363394423051e9 8.023714933320697e-10 
2.3682343425890584e9 7.997280581788495e-10 
2.414173519802263e9 7.993149422511267e-10 
2.460523439817382e9 8.161869989800553e-10 
2.5010661507420073e9 8.105247689560084e-10 
2.540071621138327e9 7.914081677214168e-10 
2.581420914794426e9 7.895402079232131e-10 
2.6249838278499446e9 7.868918942530799e-10 
2.6722109311799254e9 7.843606751197138e-10 
2.722431448522653e9 7.822931495187291e-10 
2.770530056270589e9 7.877070899648942e-10 
2.8161574195923166e9 8.250287920315442e-10 
2.8535115229293365e9 7.905040733334651e-10 
2.8959318167319837e9 7.741585972039924e-10 
2.936249221527889e9 7.749676137166564e-10 
2.979435367563568e9 7.715354984101143e-10 
3.0269192003392477e9 7.673132417756215e-10 
3.0789454842971005e9 7.649874008538413e-10 
3.127638229951433e9 7.765404455955529e-10 
3.154401834109048e9 7.643650616026723e-10 
3.1825063210627213e9 7.617686386214182e-10 
3.2049463463903937e9 7.600281051187618e-10 
3.22869993970144e9 7.586862748467477e-10 
3.259491276267917e9 7.574380251560138e-10 
3.298588755243424e9 7.561404919441777e-10 
3.3448924728567085e9 7.546304111635441e-10 
3.4049803926330795e9 7.525672112075221e-10 
3.4812983135770397e9 7.511493566119483e-10 
3.5554967438662033e9 7.967221401446485e-10 
3.579074572291429e9 7.586948544236488e-10 
3.6155720604425783e9 7.482019890417471e-10 
3.649581810631396e9 7.458767054633851e-10 
3.6980473897684107e9 7.436046192175031e-10 
3.7548434482531543e9 7.445154887324698e-10 
3.8071085373696103e9 7.505290019371933e-10 
3.8538503552891197e9 7.439076792490813e-10 
3.9024249020406623e9 7.386924981289899e-10 
3.9495140676874743e9 7.454325249318044e-10 
3.958679238579413e9 8.658685787764893e-10 
3.9718072585147715e9 1.6673087964742714e-9 
3.980560270261451e9 2.2849283360289957e-9 
3.9895131983365517e9 1.5186509010189459e-9 
3.998289659236404e9 1.6836057330677976e-9 
4.0054170701518707e9 9.659515183871212e-10 
4.018279747141469e9 9.9220810691332e-10 
4.028265005187309e9 7.344658539531557e-10 
4.0470439702274556e9 7.339527188159629e-10 
4.0621007669075646e9 7.336031393279876e-10 
4.090052772960645e9 7.329991485559552e-10 
4.1164901757173448e9 7.325226715957641e-10 
4.157433514832852e9 7.316950426655761e-10 
4.2067551387342296e9 7.306314665485117e-10 
4.276162496971986e9 7.291486046508421e-10 
4.35646842854945e9 7.274929223127629e-10 
4.4414477989441805e9 7.620677005282209e-10 
4.4537454760048065e9 7.413282679842133e-10 
4.485772078831104e9 7.273972347792981e-10 
4.510970835552365e9 7.254851942726314e-10 
4.542889409268185e9 7.238962821415654e-10 
4.577565969697818e9 7.233432593982962e-10 
4.614553015296171e9 7.227157777330314e-10 
4.646367991281651e9 8.305808549022344e-10 
4.670233632273579e9 7.224072423113024e-10 
4.693999930589636e9 7.214396280169693e-10 
4.71506084119915e9 7.211219488772981e-10 
4.7455781506213455e9 7.206628337189633e-10 
4.781657190622572e9 7.201199289004157e-10 
4.82876166947413e9 7.194139566661214e-10 
4.881470332941069e9 7.1863414057883e-10 
4.939898120660684e9 7.177916583435867e-10 
4.949224630997267e9 7.176607288090023e-10 
4.971113039918869e9 8.918180673257293e-10 
4.983536816269806e9 7.171939208796132e-10 
4.999929874018056e9 7.169750262683106e-10 
5.011956224931919e9 7.168153077776434e-10 
5.035318893279374e9 7.165078655946664e-10 
5.058122115520795e9 7.162108742602987e-10 
5.084344203697132e9 7.158755688185604e-10 
5.1167755852985e9 7.154735417740269e-10 
5.148392770730354e9 7.150972781892551e-10 
5.181583480151312e9 7.147159254597129e-10 
5.213360757149176e9 7.143583686268888e-10 
5.253358177692261e9 7.139129958831147e-10 
5.295929247682416e9 7.134423455354677e-10 
5.353941254270782e9 7.128069965239926e-10 
5.421276019541589e9 7.120822539615587e-10 
5.497180560747519e9 7.112942769349285e-10 
5.50871329215627e9 7.366851169490804e-10 
5.52907603780569e9 1.04559578905289e-9 
5.541508237232431e9 1.303635489793735e-9 
5.557243882777551e9 9.21503650440079e-10 
5.568671399485049e9 1.7467883293194398e-9 
5.57957891953082e9 1.653330580128203e-9 
5.586365585561153e9 3.24957104142754e-9 
5.594343396258512e9 2.631405462192309e-9 
5.597783228868022e9 4.345826586874245e-9 
5.602485047761088e9 2.7173088177734855e-9 
5.606893607170578e9 2.6124262169067477e-9 
5.610942191268318e9 2.984126804086322e-9 
5.61891817611e9 1.3374312465235135e-9 
5.625505326149744e9 1.5958714463286815e-9 
5.635812267683398e9 1.0340815831574258e-9 
5.644648819951458e9 9.171762411150249e-10 
5.659060061201254e9 7.382629308101154e-10 
5.674435877417409e9 7.100966614476941e-10 
5.694830434657978e9 7.099625163876408e-10 
5.722041741544227e9 7.097745555363451e-10 
5.750960598240523e9 8.799532928252077e-10 
5.755950274765683e9 1.1775374218257524e-9 
5.766270155223814e9 2.3919721480891584e-9 
5.771864334404088e9 1.862010683283175e-9 
5.778555229908559e9 8.354815325405638e-10 
5.784400774255907e9 9.890713933335742e-10 
5.795503203751421e9 7.743565981842527e-10 
5.80694233871665e9 7.092225282234098e-10 
5.822012112807508e9 7.091209202142417e-10 
5.841636405472618e9 7.089844145341211e-10 
5.869703330445167e9 7.087848136187984e-10 
5.907402885060725e9 7.08512974717922e-10 
5.958944771751096e9 7.081397881432787e-10 
6.026729113453358e9 7.076533688132107e-10 
6.112451358307284e9 7.070564234868316e-10 
6.217661119926581e9 7.063884605406038e-10 
6.276772098435578e9 7.060799847025867e-10 
6.333209532708324e9 7.058363015806193e-10 
6.374877408237554e9 7.056863336147387e-10 
6.383501623060466e9 7.056584949692909e-10 
6.403786217290872e9 1.932012054376315e-9 
6.406245929809523e9 2.5551659868345954e-9 
6.409676027031034e9 5.881163621752822e-9 
6.41027326018272e9 8.514254635329054e-9 
6.411543330356826e9 3.462430974726581e-8 
6.4119869443876e9 5.0950234146895886e-8 
6.412250397377997e9 6.731748118770243e-8 
6.41256272359998e9 6.5429430058344e-8 
6.412627309883613e9 9.468262368142908e-8 
6.412744063616984e9 2.5473466590818e-7 
6.412811454578279e9 2.505129705772559e-7 
6.41285912555969e9 2.6901480116897984e-7 
6.412908265354002e9 7.288667669490937e-7 
6.412916907071209e9 1.1032151288759652e-6 
6.412920533121793e9 1.5046096231320959e-6 
6.41292799959068e9 2.556980725922795e-6 
6.412933170987499e9 1.9617125045816705e-6 
6.412939443615721e9 2.1407376477380846e-6 
6.412944889868401e9 1.1390898971299365e-6 
6.412952084163352e9 5.732348592459424e-7 
6.41296030962119e9 6.337023991646073e-7 
6.412974628447603e9 4.965848269261818e-7 
6.412989997817208e9 1.1043235072313908e-6 
6.412993915378501e9 1.557445904565641e-6 
6.413002877636146e9 1.317124493352827e-5 
6.413003696147974e9 2.572507739566392e-5 
6.413004917733188e9 1.377852159059865e-5 
6.413005745192199e9 4.562337905217616e-6 
6.413006527910341e9 5.885458959336204e-6 
6.4130084762874775e9 9.862570027380952e-6 
6.413010134976274e9 5.2990927347402584e-6 
6.413011770740678e9 1.677988650482131e-6 
6.413013750325578e9 6.836900273652899e-7 
6.413017430689097e9 7.580849354142476e-7 
6.413022026048685e9 7.866047912823604e-7 
6.413029603205217e9 1.0471172130773243e-6 
6.413039690122511e9 3.7740217773716504e-6 
6.413041271579131e9 6.167201226379356e-6 
6.413041982105161e9 8.572756469405718e-6 
6.413043287523172e9 2.79771772624564e-5 
6.41304348972749e9 4.135439423886608e-5 
6.413043742180138e9 8.554189640666599e-5 
6.413043949027008e9 8.578512300292415e-5 
6.4130441067703705e9 2.3228826024058e-5 
6.413044251879719e9 9.508902220155007e-6 
6.413044611141177e9 1.1743260773586231e-5 
6.413045001175498e9 1.604264175526368e-5 
6.413045655628856e9 2.8979623696220245e-5 
6.413046224311931e9 2.1129495446150442e-5 
6.413046741468038e9 6.4323249446000696e-6 
6.41304730797264e9 2.5176664867888755e-6 
6.413048505372925e9 1.4507159419556082e-6 
6.413049901720291e9 1.6256557695544033e-6 
6.4130522439987755e9 1.8581999404159328e-6 
6.413055289234443e9 1.948353884698497e-6 
6.413060114682804e9 1.3960837888863862e-6 
6.413065166549495e9 8.988730798048516e-7 
6.413073683470124e9 1.7581385378880299e-6 
6.413080655331351e9 6.576275729182418e-6 
6.413081853723723e9 1.1909326181051252e-5 
6.413082331350259e9 1.7264641127137473e-5 
6.413083173803362e9 5.1541892085099686e-5 
6.413083625046743e9 2.5911663874656677e-5 
6.413084115658289e9 5.528353669768207e-6 
6.41308450499281e9 6.6243737451132276e-6 
6.413085615022185e9 1.0796231961120506e-5 
6.413086647922795e9 1.4235858639158425e-5 
6.413087939815754e9 5.569126148910319e-6 
6.413089117517885e9 1.8050144585114245e-6 
6.41309068317347e9 9.486589132236209e-7 
6.413093398072812e9 1.044821115635951e-6 
6.413097184671135e9 1.0772599073362187e-6 
6.413102673259782e9 9.177645532699016e-7 
6.4131108009310465e9 5.298832586959948e-7 
6.41312044512112e9 2.850970126476112e-7 
6.413137672520115e9 2.792384234191882e-7 
6.413159142405957e9 4.133543528619171e-7 
6.413190045561285e9 1.1408864984814248e-6 
6.413197107932441e9 1.7823216040018108e-6 
6.413205990943351e9 3.261792093447251e-6 
6.413211897979268e9 1.5835806990251676e-6 
6.413218616891873e9 4.954400391937719e-7 
6.413224920648698e9 3.8017334794279374e-7 
